Feature,Coefficient
conf_B2,0.4596787603491196
conf_B6,0.45003826141297204
digi_C1c,0.30766896691276563
digi_C1d,0.2973346414973049
digi_C2e,0.25620604451002693
train_E5,0.20497294174136452
res_D3,0.20312291201660387
res_D5,0.18779693488167842
train_E2,0.16663437418417193
res_D1,0.165534450497509
res_D6,0.16528980351730724
train_E3,0.1640134719163932
train_E4,0.16094108494195394
train_E7,0.1571240129653288
res_D2,0.15181816029422682
res_D4,0.14302816135397062
train_E6,0.14156341349364643
training_attended_binary,0.0341339669730652
Digital_x_Training,-0.0028245360098562494
