Feature,Importance
training_attended_binary,0.17175889
train_E3,0.11152534
train_E4,0.074252866
conf_B2,0.06760622
train_E6,0.06370065
train_E7,0.0567228
res_D6,0.05159652
train_E2,0.048824694
conf_B6,0.041985497
res_D5,0.039530843
digi_C1c,0.03860242
digi_C1d,0.035595816
train_E5,0.03500904
res_D2,0.034144096
res_D3,0.03409153
res_D1,0.033858124
res_D4,0.024341846
digi_C2e,0.020344544
Digital_x_Training,0.016508235
