Feature,Importance
train_E7,0.2930221239597098
Digital_x_Training,0.16539468072156588
conf_B2,0.12170333144653563
res_D2,0.12038223711726534
res_D4,0.04634470190632862
digi_C1d,0.04620642918379037
conf_B6,0.038334602983997795
res_D3,0.025319662979534405
res_D6,0.02510193875900455
digi_C1c,0.024371027761918258
train_E2,0.02278571259426624
res_D1,0.02177762088449315
train_E6,0.014285511516934175
res_D5,0.013152031668016113
train_E5,0.009579671081142823
digi_C2e,0.005427333257062986
train_E4,0.004528782650189125
train_E3,0.0014174086679732858
training_attended_binary,0.0008651908602714313
