Feature,Correlation
train_E6,0.6001999388486841
train_E3,0.5971542202100867
train_E4,0.5953280763846318
train_E5,0.588692825413155
train_E2,0.5879692295908154
train_E7,0.5827936687940347
training_attended_binary,0.4853099316559801
res_D6,0.45869761350299176
res_D5,0.44499811351863927
res_D1,0.44414052059795406
res_D2,0.441526781025235
res_D4,0.43141033579998617
digi_C1c,0.42570879009808527
res_D3,0.42313081675708314
digi_C1d,0.41795585674140084
digi_C2e,0.4095714332503874
conf_B2,0.3780327050125585
conf_B6,0.3545053620633795
Digital_x_Training,-0.06813709865450383
